input,output,type,IE
"I brought some snacks for us, in case we get stuck in traffic.","i brought some snacks for us, just in case we get stuck in traffic.",idiom,just in case
"I brought some snacks for us, lest we get stuck in traffic.","i brought some snacks for us, just in case we get stuck in traffic.",idiom,just in case
"I brought some snacks for us, provided we get stuck in traffic.","i brought some snacks for us, just in case we get stuck in traffic.",idiom,just in case
"Be sure to set two alarms, in case the first one doesn't go off.","be sure to set two alarms, just in case the first one doesn't go off.",idiom,just in case
"Be sure to set two alarms, lest the first one doesn't go off.","be sure to set two alarms, just in case the first one doesn't go off.",idiom,just in case
"Be sure to set two alarms, provided the first one doesn't go off.","be sure to set two alarms, just in case the first one doesn't go off.",idiom,just in case
A good proverb is to plant your seedlings around the end of May.,a good rule of thumb is to plant your seedlings around the end of may.,idiom,rule of thumb
A good guideline is to plant your seedlings around the end of May.,a good rule of thumb is to plant your seedlings around the end of may.,idiom,rule of thumb
A good criterion is to plant your seedlings around the end of May.,a good rule of thumb is to plant your seedlings around the end of may.,idiom,rule of thumb
"As a proverb, I move my houseplants outside in May. Going by a proverb, we stop for gas every 200 miles when we are traveling.","as a rule of thumb, i move my houseplants outside in may. going by a rule of thumb, we stop for gas every 200 miles when we are traveling.",idiom,rule of thumb
"As a guideline, I move my houseplants outside in May. Going by a guideline, we stop for gas every 200 miles when we are traveling.","as a rule of thumb, i move my houseplants outside in may. going by a rule of thumb, we stop for gas every 200 miles when we are traveling.",idiom,rule of thumb
"As a criterion, I move my houseplants outside in May. Going by a criterion, we stop for gas every 200 miles when we are traveling.","as a rule of thumb, i move my houseplants outside in may. going by a rule of thumb, we stop for gas every 200 miles when we are traveling.",idiom,rule of thumb
"As a proverb, drink a glass of water or pure fruit juice every hour you are travelling.","as a rule of thumb, drink a glass of water or pure fruit juice every hour you are travelling.",idiom,rule of thumb
"As a guideline, drink a glass of water or pure fruit juice every hour you are travelling.","as a rule of thumb, drink a glass of water or pure fruit juice every hour you are travelling.",idiom,rule of thumb
"As a criterion, drink a glass of water or pure fruit juice every hour you are travelling.","as a rule of thumb, drink a glass of water or pure fruit juice every hour you are travelling.",idiom,rule of thumb
A good proverb for any type of studio photography is to use no more light sources than are strictly necessary.,a good rule of thumb for any type of studio photography is to use no more light sources than are strictly necessary.,idiom,rule of thumb
A good guideline for any type of studio photography is to use no more light sources than are strictly necessary.,a good rule of thumb for any type of studio photography is to use no more light sources than are strictly necessary.,idiom,rule of thumb
A good criterion for any type of studio photography is to use no more light sources than are strictly necessary.,a good rule of thumb for any type of studio photography is to use no more light sources than are strictly necessary.,idiom,rule of thumb
"You can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. Seize the day!","you can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. carpe diem!",idiom,carpe diem
"You can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. Enjoy the moment!","you can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. carpe diem!",idiom,carpe diem
"You can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. Make the most of now!","you can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. carpe diem!",idiom,carpe diem
"You can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. Live for the day!","you can't simply sit back and wait for good things to come tomorrow, you have to make things happen as you want them to. carpe diem!",idiom,carpe diem
"Ah, to be in love in your innocent years—such blissful and carefree times!","ah, to be in love in your salad days—such blissful and carefree times!",idiom,salad days
"Ah, to be in love in your prime years—such blissful and carefree times!","ah, to be in love in your salad days—such blissful and carefree times!",idiom,salad days
"Ah, to be in love in your early adulthood—such blissful and carefree times!","ah, to be in love in your salad days—such blissful and carefree times!",idiom,salad days
"Ah, to be in love in your youth—such blissful and carefree times!","ah, to be in love in your salad days—such blissful and carefree times!",idiom,salad days
"Ah, to be in love in your adolescence—such blissful and carefree times!","ah, to be in love in your salad days—such blissful and carefree times!",idiom,salad days
"Whenever I ask my grandfather the meaning of a word I hear on TV, he always laughs and says he'll tell me when I'm no longer in my innocent years.","whenever i ask my grandfather the meaning of a word i hear on tv, he always laughs and says he'll tell me when i'm no longer in my salad days.",idiom,salad days
"Whenever I ask my grandfather the meaning of a word I hear on TV, he always laughs and says he'll tell me when I'm no longer in my prime years.","whenever i ask my grandfather the meaning of a word i hear on tv, he always laughs and says he'll tell me when i'm no longer in my salad days.",idiom,salad days
"Whenever I ask my grandfather the meaning of a word I hear on TV, he always laughs and says he'll tell me when I'm no longer in my early adulthood.","whenever i ask my grandfather the meaning of a word i hear on tv, he always laughs and says he'll tell me when i'm no longer in my salad days.",idiom,salad days
"Whenever I ask my grandfather the meaning of a word I hear on TV, he always laughs and says he'll tell me when I'm no longer in my youth.","whenever i ask my grandfather the meaning of a word i hear on tv, he always laughs and says he'll tell me when i'm no longer in my salad days.",idiom,salad days
"Whenever I ask my grandfather the meaning of a word I hear on TV, he always laughs and says he'll tell me when I'm no longer in my adolescence.","whenever i ask my grandfather the meaning of a word i hear on tv, he always laughs and says he'll tell me when i'm no longer in my salad days.",idiom,salad days
The grand hotel did not seem to have changed since her innocent years.,the grand hotel did not seem to have changed since her salad days.,idiom,salad days
The grand hotel did not seem to have changed since her prime years.,the grand hotel did not seem to have changed since her salad days.,idiom,salad days
The grand hotel did not seem to have changed since her early adulthood.,the grand hotel did not seem to have changed since her salad days.,idiom,salad days
The grand hotel did not seem to have changed since her youth.,the grand hotel did not seem to have changed since her salad days.,idiom,salad days
The grand hotel did not seem to have changed since her adolescence.,the grand hotel did not seem to have changed since her salad days.,idiom,salad days
"Our official position is that he decided to change careers, but, unofficially, he was fired for making inappropriate comments to his staff.","our official position is that he decided to change careers, but, off the record, he was fired for making inappropriate comments to his staff.",idiom,off the record
"Our official position is that he decided to change careers, but, confidentially, he was fired for making inappropriate comments to his staff.","our official position is that he decided to change careers, but, off the record, he was fired for making inappropriate comments to his staff.",idiom,off the record
The president is suing the newspaper for publishing several of her unofficial comments.,the president is suing the newspaper for publishing several of her off the record comments.,idiom,off the record
The president is suing the newspaper for publishing several of her confidential comments.,the president is suing the newspaper for publishing several of her off the record comments.,idiom,off the record
"This is unofficial, but I disagree with the mayor on this matter.","this is off the record, but i disagree with the mayor on this matter.",idiom,off the record
"This is confidential, but I disagree with the mayor on this matter.","this is off the record, but i disagree with the mayor on this matter.",idiom,off the record
"Although her comments were unofficial, the newspaper published them anyway.","although her comments were off the record, the newspaper published them anyway.",idiom,off the record
"Although her comments were confidential, the newspaper published them anyway.","although her comments were off the record, the newspaper published them anyway.",idiom,off the record
What I'm about to tell you is unofficial.,what i'm about to tell you is off the record.,idiom,off the record
What I'm about to tell you is confidential.,what i'm about to tell you is off the record.,idiom,off the record
"The army is now empowered to operate on a shoot to kill basis. That's unofficial, but the facts will shortly start to speak for themselves.","the army is now empowered to operate on a shoot to kill basis. that's off the record, but the facts will shortly start to speak for themselves.",idiom,off the record
"The army is now empowered to operate on a shoot to kill basis. That's confidential, but the facts will shortly start to speak for themselves.","the army is now empowered to operate on a shoot to kill basis. that's off the record, but the facts will shortly start to speak for themselves.",idiom,off the record
He apparently believed he was speaking unofficially when he expressed this view at a conference in Tuscany.,he apparently believed he was speaking off the record when he expressed this view at a conference in tuscany.,idiom,off the record
He apparently believed he was speaking confidentially when he expressed this view at a conference in Tuscany.,he apparently believed he was speaking off the record when he expressed this view at a conference in tuscany.,idiom,off the record
Downing Street was furious last night at further revelations of the prime minister's `unofficial' remarks to journalists.,downing street was furious last night at further revelations of the prime minister's `off the record' remarks to journalists.,idiom,off the record
Downing Street was furious last night at further revelations of the prime minister's `confidential' remarks to journalists.,downing street was furious last night at further revelations of the prime minister's `off the record' remarks to journalists.,idiom,off the record
The senator told the reporters that his remarks were strictly unofficial.,the senator told the reporters that his remarks were strictly off the record.,idiom,off the record
The senator told the reporters that his remarks were strictly confidential.,the senator told the reporters that his remarks were strictly off the record.,idiom,off the record
"I wasn't looking for a new job, but I couldn't say no to one that offered me large sums of money.","i wasn't looking for a new job, but i couldn't say no to one that offered me big bucks.",idiom,big bucks
"I wasn't looking for a new job, but I couldn't say no to one that offered me a lot of money.","i wasn't looking for a new job, but i couldn't say no to one that offered me big bucks.",idiom,big bucks
"I wasn't looking for a new job, but I couldn't say no to one that offered me a great deal of money.","i wasn't looking for a new job, but i couldn't say no to one that offered me big bucks.",idiom,big bucks
"I wasn't looking for a new job, but I couldn't say no to one that offered me a large amount of money.","i wasn't looking for a new job, but i couldn't say no to one that offered me big bucks.",idiom,big bucks
"I wasn't looking for a new job, but I couldn't say no to one that offered me considerable sums of money.","i wasn't looking for a new job, but i couldn't say no to one that offered me big bucks.",idiom,big bucks
She makes large sums of money because she manages an entire department.,she makes the big bucks because she manages an entire department.,idiom,big bucks
She makes a lot of money because she manages an entire department.,she makes the big bucks because she manages an entire department.,idiom,big bucks
She makes a great deal of money because she manages an entire department.,she makes the big bucks because she manages an entire department.,idiom,big bucks
She makes a large amount of money because she manages an entire department.,she makes the big bucks because she manages an entire department.,idiom,big bucks
She makes a considerable sum of money because she manages an entire department.,she makes the big bucks because she manages an entire department.,idiom,big bucks
He earns large sums of money for doing almost nothing.,he earns big bucks for doing almost nothing.,idiom,big bucks
He earns a lot of money for doing almost nothing.,he earns big bucks for doing almost nothing.,idiom,big bucks
He earns a great deal of money for doing almost nothing.,he earns big bucks for doing almost nothing.,idiom,big bucks
He earns a large amount of money for doing almost nothing.,he earns big bucks for doing almost nothing.,idiom,big bucks
He earns considerable sums of money for doing almost nothing.,he earns big bucks for doing almost nothing.,idiom,big bucks
She gets paid large sums of money to worry about stuff like that., she gets paid big bucks to worry about stuff like that.,idiom,big bucks
She gets paid a lot of money to worry about stuff like that., she gets paid big bucks to worry about stuff like that.,idiom,big bucks
She gets paid a great deal of money to worry about stuff like that., she gets paid big bucks to worry about stuff like that.,idiom,big bucks
She gets paid a large amount of money to worry about stuff like that., she gets paid big bucks to worry about stuff like that.,idiom,big bucks
She gets paid considerable sums of money to worry about stuff like that., she gets paid big bucks to worry about stuff like that.,idiom,big bucks
You'll never win the case with him as your lawyer—he's just out of law school and still new!,you'll never win the case with him as your lawyer—he's just out of law school and still wet behind the ears!,idiom,wet behind the ears
You'll never win the case with him as your lawyer—he's just out of law school and still inexperienced!,you'll never win the case with him as your lawyer—he's just out of law school and still wet behind the ears!,idiom,wet behind the ears
You'll never win the case with him as your lawyer—he's just out of law school and still callow!,you'll never win the case with him as your lawyer—he's just out of law school and still wet behind the ears!,idiom,wet behind the ears
You'll never win the case with him as your lawyer—he's just out of law school and still naive!,you'll never win the case with him as your lawyer—he's just out of law school and still wet behind the ears!,idiom,wet behind the ears
You'll never win the case with him as your lawyer—he's just out of law school and still tenderfoot!,you'll never win the case with him as your lawyer—he's just out of law school and still wet behind the ears!,idiom,wet behind the ears
This group of interns seems especially new—I barely trust them to get my coffee!,this group of interns seems especially wet behind the ears—i barely trust them to get my coffee!,idiom,wet behind the ears
This group of interns seems especially inexperienced—I barely trust them to get my coffee!,this group of interns seems especially wet behind the ears—i barely trust them to get my coffee!,idiom,wet behind the ears
This group of interns seems especially immature—I barely trust them to get my coffee!,this group of interns seems especially wet behind the ears—i barely trust them to get my coffee!,idiom,wet behind the ears
This group of interns seems especially callow—I barely trust them to get my coffee!,this group of interns seems especially wet behind the ears—i barely trust them to get my coffee!,idiom,wet behind the ears
This group of interns seems especially naive—I barely trust them to get my coffee!,this group of interns seems especially wet behind the ears—i barely trust them to get my coffee!,idiom,wet behind the ears
This group of interns seems especially tenderfoot—I barely trust them to get my coffee!,this group of interns seems especially wet behind the ears—i barely trust them to get my coffee!,idiom,wet behind the ears
"John's too young to take on a job like this! He's still new! He may be new, but he's well-trained and totally competent. ","john's too young to take on a job like this! he's still wet behind the ears! he may be wet behind the ears, but he's well trained and totally competent. ",idiom,wet behind the ears
"John's too young to take on a job like this! He's still inexperienced! He may be inexperienced, but he's well-trained and totally competent. ","john's too young to take on a job like this! he's still wet behind the ears! he may be wet behind the ears, but he's well trained and totally competent. ",idiom,wet behind the ears
"John's too young to take on a job like this! He's still immature! He may be immature, but he's well-trained and totally competent. ","john's too young to take on a job like this! he's still wet behind the ears! he may be wet behind the ears, but he's well trained and totally competent. ",idiom,wet behind the ears
"John's too young to take on a job like this! He's still callow! He may be callow, but he's well-trained and totally competent. ","john's too young to take on a job like this! he's still wet behind the ears! he may be wet behind the ears, but he's well trained and totally competent. ",idiom,wet behind the ears
"John's too young to take on a job like this! He's still naive! He may be naive, but he's well-trained and totally competent. ","john's too young to take on a job like this! he's still wet behind the ears! he may be wet behind the ears, but he's well trained and totally competent. ",idiom,wet behind the ears
"John's too young to take on a job like this! He's still tenderfoot! He may be tenderfoot, but he's well-trained and totally competent. ","john's too young to take on a job like this! he's still wet behind the ears! he may be wet behind the ears, but he's well trained and totally competent. ",idiom,wet behind the ears
"Hawking was a research student, still new by scientific standards.","hawking was a research student, still wet behind the ears by scientific standards.",idiom,wet behind the ears
"Hawking was a research student, still inexperienced by scientific standards.","hawking was a research student, still wet behind the ears by scientific standards.",idiom,wet behind the ears
"Hawking was a research student, still callow by scientific standards.","hawking was a research student, still wet behind the ears by scientific standards.",idiom,wet behind the ears
"Hawking was a research student, still naive by scientific standards.","hawking was a research student, still wet behind the ears by scientific standards.",idiom,wet behind the ears
